Panjang_Sepal,Lebar_Sepal,Panjang_Petal,Lebar_Petal,Species,Petal.Area,Panjang_Petal_Str,Species_Code,Is_Panjang,Species_Upper,Habitat
5.1,3.5,1.4,0.2,setosa,0.27999999999999997,1.4,S,False,SETOSA,Sunny Meadow
4.9,3.0,1.4,0.2,setosa,0.27999999999999997,1.4,S,False,SETOSA,Sunny Meadow
4.7,3.2,1.3,0.2,setosa,0.26,1.3,S,False,SETOSA,Sunny Meadow
4.6,3.1,1.5,0.2,setosa,0.30000000000000004,1.5,S,False,SETOSA,Sunny Meadow
5.0,3.6,1.4,0.2,setosa,0.27999999999999997,1.4,S,False,SETOSA,Sunny Meadow
5.4,3.9,1.7,0.4,setosa,0.68,1.7,S,False,SETOSA,Sunny Meadow
4.6,3.4,1.4,0.3,setosa,0.42,1.4,S,False,SETOSA,Sunny Meadow
5.0,3.4,1.5,0.2,setosa,0.30000000000000004,1.5,S,False,SETOSA,Sunny Meadow
4.4,2.9,1.4,0.2,setosa,0.27999999999999997,1.4,S,False,SETOSA,Sunny Meadow
4.9,3.1,1.5,0.1,setosa,0.15000000000000002,1.5,S,False,SETOSA,Sunny Meadow
5.4,3.7,1.5,0.2,setosa,0.30000000000000004,1.5,S,False,SETOSA,Sunny Meadow
4.8,3.4,1.6,0.2,setosa,0.32000000000000006,1.6,S,False,SETOSA,Sunny Meadow
4.8,3.0,1.4,0.1,setosa,0.13999999999999999,1.4,S,False,SETOSA,Sunny Meadow
4.3,3.0,1.1,0.1,setosa,0.11000000000000001,1.1,S,False,SETOSA,Sunny Meadow
5.8,4.0,1.2,0.2,setosa,0.24,1.2,S,False,SETOSA,Sunny Meadow
5.7,4.4,1.5,0.4,setosa,0.6000000000000001,1.5,S,False,SETOSA,Sunny Meadow
5.4,3.9,1.3,0.4,setosa,0.52,1.3,S,False,SETOSA,Sunny Meadow
5.1,3.5,1.4,0.3,setosa,0.42,1.4,S,False,SETOSA,Sunny Meadow
5.7,3.8,1.7,0.3,setosa,0.51,1.7,S,False,SETOSA,Sunny Meadow
5.1,3.8,1.5,0.3,setosa,0.44999999999999996,1.5,S,False,SETOSA,Sunny Meadow
5.4,3.4,1.7,0.2,setosa,0.34,1.7,S,False,SETOSA,Sunny Meadow
5.1,3.7,1.5,0.4,setosa,0.6000000000000001,1.5,S,False,SETOSA,Sunny Meadow
4.6,3.6,1.0,0.2,setosa,0.2,1.0,S,False,SETOSA,Sunny Meadow
